zip,leaid
35220,0100002
36057,0100002
35206,0100002
35950,0100005
35950,0100005
35950,0100005
35950,0100005
35950,0100005
35950,0100005
35957,0100006
35747,0100006
35950,0100006
35957,0100006
35976,0100006
35964,0100006
35964,0100006
35016,0100006
35747,0100006
35957,0100006
35175,0100006
35747,0100006
35957,0100006
35964,0100006
35244,0100007
35242,0100007
35244,0100007
35216,0100007
35244,0100007
35226,0100007
35226,0100007
35226,0100007
35226,0100007
35243,0100007
35226,0100007
35011,0100030
35011,0100030
35010,0100030
35010,0100030
35010,0100030
36420,0100060
36420,0100060
36420,0100060
36420,0100060
36207,0100090
36201,0100090
36207,0100090
36207,0100090
36201,0100090
36201,0100090
36207,0100090
36201,0100090
36201,0100090
35016,0100100
35016,0100100
35016,0100100
35016,0100100
35611,0100120
35611,0100120
35611,0100120
35611,0100120
35611,0100120
35611,0100120
35954,0100180
35954,0100180
35954,0100180
35954,0100180
36830,0100210
36830,0100210
36830,0100210
36830,0100210
36830,0100210
36830,0100210
36830,0100210
36003,0100240
36003,0100240
36006,0100240
36051,0100240
36067,0100240
36067,0100240
36067,0100240
36067,0100240
36067,0100240
36067,0100240
36507,0100270
36507,0100270
36526,0100270
36547,0100270
36567,0100270
36526,0100270
36530,0100270
36567,0100270
36532,0100270
36535,0100270
36562,0100270
36567,0100270
36576,0100270
36527,0100270
36578,0100270
36580,0100270
36511,0100270
36532,0100270
36567,0100270
36532,0100270
36547,0100270
36507,0100270
36507,0100270
36526,0100270
36532,0100270
36532,0100270
36535,0100270
36535,0100270
36551,0100270
36507,0100270
36567,0100270
36526,0100270
36507,0100270
36535,0100270
36507,0100270
36004,0100300
36016,0100300
36017,0100300
36048,0100300
36027,0100300
36016,0100300
36048,0100300
35020,0100330
35020,0100330
35020,0100330
35020,0100330
35020,0100330
35020,0100330
35020,0100330
35042,0100360
35034,0100360
35042,0100360
36792,0100360
35184,0100360
35184,0100360
35188,0100360
35184,0100360
35202,0100390
35202,0100390
35223,0100390
35212,0100390
35222,0100390
35218,0100390
35206,0100390
35206,0100390
35208,0100390
35218,0100390
35207,0100390
35207,0100390
35205,0100390
35208,0100390
35206,0100390
35218,0100390
35206,0100390
35212,0100390
35205,0100390
35211,0100390
35218,0100390
35208,0100390
35212,0100390
35212,0100390
35235,0100390
35228,0100390
35222,0100390
35211,0100390
35204,0100390
35212,0100390
35207,0100390
35215,0100390
35215,0100390
35217,0100390
35211,0100390
35221,0100390
35212,0100390
35211,0100390
35234,0100390
35204,0100390
35234,0100390
35214,0100390
35213,0100390
35218,0100390
35207,0100390
35215,0100390
35234,0100390
35212,0100390
35218,0100390
35204,0100390
35203,0100390
35211,0100390
35203,0100390
35211,0100390
35208,0100390
35210,0100390
35205,0100390
35207,0100390
35211,0100390
35206,0100390
35214,0100390
35215,0100390
35211,0100390
35204,0100390
35218,0100390
35205,0100390
35221,0100390
35221,0100390
35211,0100390
35222,0100390
35204,0100390
35204,0100390
35212,0100390
35215,0100390
35224,0100390
35202,0100390
35222,0100390
35205,0100390
35222,0100390
35203,0100390
35214,0100390
35234,0100390
35211,0100390
35208,0100390
35215,0100390
35020,0100390
35222,0100390
35202,0100390
35215,0100390
35205,0100390
35223,0100390
35223,0100390
35079,0100420
35121,0100420
35031,0100420
35049,0100420
35079,0100420
35079,0100420
35031,0100420
35097,0100420
35133,0100420
35031,0100420
36426,0100450
36426,0100450
36426,0100450
36089,0100480
36053,0100480
36089,0100480
36089,0100480
36033,0100510
36037,0100510
36037,0100510
36456,0100510
36033,0100510
36037,0100510
36204,0100540
36250,0100540
36253,0100540
36201,0100540
36257,0100540
36271,0100540
36201,0100540
36201,0100540
36201,0100540
36277,0100540
36277,0100540
36201,0100540
36201,0100540
36265,0100540
36201,0100540
36250,0100540
36862,0100600
36854,0100600
36855,0100600
36863,0100600
36862,0100600
36854,0100600
36876,0100600
36862,0100600
36854,0100600
36854,0100600
35959,0100630
35960,0100630
35960,0100630
35960,0100630
35973,0100630
35983,0100630
36275,0100630
36750,0100660
35085,0100660
36750,0100660
35171,0100660
35045,0100660
35045,0100660
36091,0100660
35045,0100660
35085,0100660
36908,0100690
36904,0100690
36904,0100690
36904,0100690
36912,0100690
36919,0100690
36919,0100690
36451,0100720
36524,0100720
36524,0100720
36451,0100720
36545,0100720
36545,0100720
36451,0100720
36545,0100720
36251,0100750
36266,0100750
36267,0100750
36251,0100750
36266,0100750
36266,0100750
36255,0100750
36267,0100750
36264,0100780
36264,0100780
36262,0100780
36264,0100780
36273,0100780
36273,0100780
36453,0100810
36346,0100810
36351,0100810
36351,0100810
35616,0100840
35616,0100840
35616,0100840
35646,0100840
35674,0100840
35646,0100840
35646,0100840
35674,0100840
35674,0100840
36432,0100870
36401,0100870
36401,0100870
36401,0100870
36401,0100870
36475,0100870
36401,0100870
35136,0100900
35072,0100900
35089,0100900
35183,0100900
35136,0100900
36442,0100930
36420,0100930
36467,0100930
36442,0100930
36420,0100930
36474,0100930
36420,0100930
36455,0100930
36009,0100960
36041,0100960
36049,0100960
35055,0100990
35055,0100990
35055,0100990
35055,0100990
35055,0100990
35019,0101020
35033,0101020
35053,0101020
35055,0101020
35070,0101020
35055,0101020
35077,0101020
35083,0101020
35055,0101020
35019,0101020
35098,0101020
35179,0101020
35055,0101020
35055,0101020
35055,0101020
36374,0101050
36311,0101050
36350,0101050
36374,0101050
36350,0101050
36352,0101050
36371,0101050
36322,0101080
36322,0101080
36322,0101080
36701,0101110
36701,0101110
36758,0101110
36767,0101110
36759,0101110
36758,0101110
36767,0101110
36767,0101110
36775,0101110
36701,0101110
36701,0101110
36701,0101110
36701,0101110
36701,0101110
35967,0101140
35961,0101140
35962,0101140
35971,0101140
35974,0101140
35978,0101140
35981,0101140
35984,0101140
35986,0101140
35967,0101140
35988,0101140
35989,0101140
35603,0101170
35601,0101170
35601,0101170
35601,0101170
35601,0101170
35601,0101170
35601,0101170
35601,0101170
35601,0101170
35601,0101170
35601,0101170
35601,0101170
35601,0101170
35601,0101170
35601,0101170
35602,0101170
35603,0101170
36732,0101200
36732,0101200
36732,0101200
36732,0101200
36303,0101230
36301,0101230
36301,0101230
36303,0101230
36303,0101230
36301,0101230
36301,0101230
36303,0101230
36303,0101230
36301,0101230
36301,0101230
36303,0101230
36303,0101230
36301,0101230
36301,0101230
36303,0101230
36303,0101230
36323,0101260
36323,0101260
36092,0101290
36024,0101290
36022,0101290
36054,0101290
36054,0101290
36092,0101290
36092,0101290
36054,0101290
36024,0101290
36022,0101290
36092,0101290
36330,0101320
36330,0101320
36330,0101320
36330,0101320
36330,0101320
36330,0101320
36330,0101320
36330,0101320
36330,0101320
36330,0101320
36502,0101350
36502,0101350
36502,0101350
36441,0101350
36543,0101350
36426,0101350
36427,0101350
36441,0101350
36426,0101350
36427,0101350
36502,0101350
35957,0101380
35954,0101380
35999,0101380
35905,0101380
35905,0101380
35903,0101380
35903,0101380
35954,0101380
35906,0101380
35901,0101380
35957,0101380
35901,0101380
35990,0101380
35952,0101380
35957,0101380
35905,0101380
35906,0101380
35901,0101380
35903,0101380
36027,0101410
36027,0101410
36027,0101410
36027,0101410
36027,0101410
35064,0101440
35064,0101440
35064,0101440
35064,0101440
35064,0101440
35546,0101470
35555,0101470
35555,0101470
35546,0101470
35555,0101470
35555,0101470
35630,0101530
35630,0101530
35630,0101530
35630,0101530
35630,0101530
35630,0101530
35630,0101530
35630,0101530
35630,0101530
35967,0101560
35967,0101560
35967,0101560
35967,0101560
35653,0101590
35581,0101590
35581,0101590
35582,0101590
35653,0101590
35593,0101590
35903,0101620
35903,0101620
35901,0101620
35904,0101620
35901,0101620
35901,0101620
35904,0101620
35901,0101620
35903,0101620
35901,0101620
35901,0101620
35904,0101620
35904,0101620
35903,0101620
35901,0101620
36340,0101640
36340,0101640
36340,0101640
36318,0101660
36344,0101660
36477,0101660
36375,0101660
36477,0101660
36477,0101660
36318,0101660
36318,0101660
36344,0101660
36344,0101660
36375,0101660
36375,0101660
36740,0101680
35462,0101680
35462,0101680
35443,0101680
35462,0101680
35976,0101690
35976,0101690
35976,0101690
35976,0101690
36744,0101710
36744,0101710
35474,0101710
35474,0101710
36765,0101710
35441,0101710
35441,0101710
35565,0101720
35565,0101720
35640,0101730
35640,0101730
35640,0101730
35640,0101730
35640,0101730
36310,0101740
36310,0101740
36310,0101740
36345,0101740
36345,0101740
36345,0101740
35209,0101760
35209,0101760
35209,0101760
35209,0101760
35209,0101760
36312,0101770
36320,0101770
36370,0101770
36319,0101770
36301,0101770
36376,0101770
36352,0101770
36312,0101770
35805,0101800
35801,0101800
35805,0101800
35805,0101800
35802,0101800
35811,0101800
35811,0101800
35810,0101800
35801,0101800
35810,0101800
35803,0101800
35802,0101800
35810,0101800
35801,0101800
35801,0101800
35810,0101800
35802,0101800
35810,0101800
35811,0101800
35801,0101800
35805,0101800
35801,0101800
35810,0101800
35803,0101800
35805,0101800
35810,0101800
35805,0101800
35805,0101800
35805,0101800
35805,0101800
35810,0101800
35803,0101800
35805,0101800
35802,0101800
35811,0101800
35810,0101800
35805,0101800
35803,0101800
35802,0101800
35816,0101800
35803,0101800
35803,0101800
35824,0101800
35740,0101830
35740,0101830
35958,0101830
35744,0101830
35966,0101830
35752,0101830
35979,0101830
35766,0101830
35765,0101830
35771,0101830
35768,0101830
35776,0101830
35765,0101830
35772,0101830
35772,0101830
35771,0101830
35772,0101830
36265,0101860
36265,0101860
35501,0101890
35501,0101890
35501,0101890
35501,0101890
35501,0101890
35501,0101890
35005,0101920
35023,0101920
35062,0101920
35005,0101920
35071,0101920
35020,0101920
35073,0101920
35243,0101920
35215,0101920
35215,0101920
35048,0101920
35023,0101920
35180,0101920
35214,0101920
35215,0101920
35215,0101920
35068,0101920
35217,0101920
35071,0101920
35071,0101920
35023,0101920
35173,0101920
35173,0101920
35173,0101920
35214,0101920
35023,0101920
35023,0101920
35210,0101920
35210,0101920
35116,0101920
35094,0101920
35094,0101920
35094,0101920
35020,0101920
35111,0101920
35224,0101920
35116,0101920
35117,0101920
35023,0101920
35243,0101920
35023,0101920
35126,0101920
35126,0101920
35023,0101920
35127,0101920
35127,0101920
35071,0101920
35209,0101920
35180,0101920
35130,0101920
35061,0101920
35020,0101920
35210,0101920
35126,0101920
35126,0101920
35217,0101920
35173,0101920
35005,0101920
35586,0101950
35592,0101950
35576,0101950
36863,0101980
36863,0101980
36863,0101980
36863,0101980
35645,0102010
35610,0102010
35645,0102010
35630,0102010
35630,0102010
35652,0102010
35630,0102010
35648,0102010
35630,0102010
35630,0102010
35677,0102010
35630,0102010
35645,0102010
35618,0102040
35618,0102040
35673,0102040
35672,0102040
35672,0102040
35672,0102040
35672,0102040
35650,0102040
35650,0102040
35650,0102040
35651,0102040
35619,0102040
35673,0102040
36801,0102070
36854,0102070
36865,0102070
36877,0102070
36801,0102070
36854,0102070
36865,0102070
36801,0102070
36877,0102070
36877,0102070
36874,0102070
35739,0102100
35611,0102100
35611,0102100
35611,0102100
35611,0102100
35611,0102100
35611,0102100
35671,0102100
35647,0102100
35620,0102100
36748,0102130
36748,0102130
36748,0102130
36047,0102160
36040,0102160
36040,0102160
36040,0102160
36040,0102160
36032,0102160
36040,0102160
36032,0102160
36088,0102190
36866,0102190
36089,0102190
36087,0102190
36083,0102190
36083,0102190
36075,0102190
36087,0102190
35750,0102220
35758,0102220
35811,0102220
35758,0102220
35749,0102220
35750,0102220
35748,0102220
35773,0102220
35758,0102220
35806,0102220
35760,0102220
35761,0102220
35763,0102220
35811,0102220
35773,0102220
35761,0102220
35758,0102220
35761,0102220
35811,0102220
35759,0102220
35758,0102220
36783,0102250
36732,0102250
36736,0102250
36782,0102250
35548,0102310
35548,0102310
35563,0102310
35563,0102310
35564,0102310
35570,0102310
35570,0102310
35543,0102310
35564,0102310
35570,0102310
35543,0102310
35228,0102350
35228,0102350
35228,0102350
36571,0102370
36605,0102370
36509,0102370
36608,0102370
36609,0102370
36605,0102370
36608,0102370
36610,0102370
36617,0102370
36617,0102370
36605,0102370
36560,0102370
36611,0102370
36522,0102370
36603,0102370
36607,0102370
36582,0102370
36528,0102370
36609,0102370
36608,0102370
36544,0102370
36609,0102370
36603,0102370
36605,0102370
36613,0102370
36609,0102370
36617,0102370
36618,0102370
36610,0102370
36541,0102370
36611,0102370
36608,0102370
36605,0102370
36613,0102370
36608,0102370
36608,0102370
36611,0102370
36605,0102370
36612,0102370
36575,0102370
36582,0102370
36605,0102370
36606,0102370
36541,0102370
36610,0102370
36605,0102370
