zip,leaid
67448,2000001
67448,2000001
67456,2000002
67464,2000002
67456,2000002
66547,2000003
66547,2000003
66547,2000003
66547,2000003
66535,2000004
66549,2000004
66535,2000004
66534,2000005
66534,2000005
66534,2000005
66550,2000005
66550,2000005
66434,2000006
66434,2000006
66532,2000006
66967,2000007
66967,2000007
66945,2000012
66945,2000012
66953,2000012
66953,2000012
67764,2000013
67764,2000013
66080,2000014
66080,2000014
66067,2000015
66067,2000015
66067,2000015
66067,2000015
66067,2000015
66067,2000015
66067,2000015
66406,2000016
66508,2000016
66508,2000016
66508,2000016
67871,2000017
67871,2000017
67872,2000017
67871,2000017
67410,2003180
67410,2003180
67410,2003180
67410,2003180
67410,2003180
66402,2003200
66619,2003200
66546,2003200
66615,2003200
66610,2003200
66605,2003200
66614,2003200
66619,2003200
66830,2003210
66835,2003210
66833,2003210
66868,2003210
66401,2003240
66401,2003240
66526,2003240
66526,2003240
66507,2003240
67622,2003270
67622,2003270
67647,2003270
67330,2003300
67330,2003300
67332,2003300
67342,2003300
67357,2003300
67354,2003300
67002,2003360
67002,2003360
67002,2003360
67002,2003360
67003,2003390
67003,2003390
67058,2003390
67004,2003430
67004,2003430
67005,2003450
67005,2003450
67005,2003450
67005,2003450
67005,2003450
67005,2003450
67005,2003450
67005,2003450
67005,2003450
66712,2003480
66712,2003480
67831,2003510
67831,2003510
67831,2003510
66002,2003540
66002,2003540
66002,2003540
66002,2003540
66002,2003540
66002,2003540
66002,2003540
67009,2003570
67009,2003570
67730,2003600
67730,2003600
67730,2003600
67010,2003630
67010,2003630
67010,2003630
67010,2003630
67010,2003630
67010,2003630
66403,2003660
66403,2003660
66408,2003660
66408,2003660
66541,2003660
66404,2003690
66538,2003690
66006,2003720
66006,2003720
66006,2003720
66006,2003720
66006,2003720
66007,2003780
66007,2003780
66052,2003780
66052,2003780
66713,2003810
66713,2003810
66713,2003810
66713,2003810
67516,2003840
67516,2003840
67420,2003870
67420,2003870
67013,2003900
67013,2003900
67013,2003900
66935,2003930
66935,2003930
66935,2003930
67422,2003960
67422,2003960
67484,2003960
67484,2003960
67511,2004020
67520,2004020
67565,2004020
67565,2004020
67575,2004020
66012,2004050
66012,2004050
66012,2004050
66012,2004050
66012,2004050
66111,2004050
66012,2004050
67732,2004080
67732,2004080
67834,2004140
67834,2004140
66710,2004170
66710,2004170
66717,2004170
66717,2004170
67522,2004200
67522,2004200
67501,2004200
67502,2004200
67502,2004200
67502,2004200
67008,2004230
67019,2004230
67019,2004230
66413,2004260
66413,2004260
66413,2004260
66839,2004290
66839,2004290
66839,2004290
67020,2004350
67020,2004350
67022,2004380
67022,2004380
67333,2004410
67333,2004410
67428,2004440
67428,2004440
67443,2004440
67443,2004440
67430,2004470
67430,2004470
67437,2004470
67437,2004470
67446,2004470
67485,2004470
67024,2004500
67024,2004500
66415,2004560
66415,2004560
66427,2004560
66427,2004560
66720,2004590
66720,2004590
66720,2004590
66720,2004590
66720,2004590
66720,2004590
67410,2004620
67431,2004620
67431,2004620
67431,2004620
67441,2004620
67410,2004620
67482,2004620
67524,2004650
67524,2004650
67573,2004650
67025,2004670
67025,2004670
67025,2004670
66724,2004710
66753,2004710
66724,2004710
66781,2004710
66782,2004710
67335,2004740
67335,2004740
67335,2004740
67335,2004740
67336,2004770
67336,2004770
67731,2004790
67731,2004790
67745,2004790
67835,2004800
67835,2004800
66436,2004830
66436,2004830
67525,2004860
67525,2004860
67432,2004890
67432,2004890
67432,2004890
67432,2004890
67447,2004890
67458,2004890
67468,2004890
67487,2004890
67487,2004890
67026,2004920
67026,2004920
67026,2004920
67026,2004920
66937,2004950
66938,2004950
66938,2004950
66937,2004950
67337,2004980
67337,2004980
67337,2004980
67337,2004980
67337,2004980
67337,2004980
67337,2004980
67337,2004980
67337,2004980
67701,2005010
67701,2005010
67701,2005010
67029,2005040
67029,2005040
67127,2005040
67127,2005040
66725,2005070
66725,2005070
66725,2005070
66725,2005070
66725,2005070
66773,2005070
66739,2005070
66901,2005100
66901,2005100
66901,2005100
66901,2005100
66901,2005100
67031,2005130
67031,2005130
67031,2005130
67837,2005190
67837,2005190
66869,2005250
66845,2005250
66845,2005250
66834,2005280
66846,2005280
66846,2005280
66849,2005280
66873,2005280
66939,2005310
66966,2005310
66939,2005310
66940,2005340
66940,2005340
67035,2005370
67035,2005370
67159,2005370
67838,2005400
67838,2005400
67838,2005400
66017,2005430
66017,2005430
66017,2005430
67216,2005460
67037,2005460
67216,2005460
67216,2005460
67037,2005460
67037,2005460
67210,2005460
67037,2005460
67037,2005460
67037,2005460
67037,2005460
67037,2005460
66018,2005490
66018,2005490
66018,2005490
66018,2005490
66226,2005490
66226,2005490
66226,2005490
66018,2005490
67038,2005520
