zip,leaid
44306,3904348
44320,3904348
44313,3904348
44313,3904348
44310,3904348
44313,3904348
44301,3904348
44310,3904348
44305,3904348
44301,3904348
44306,3904348
44306,3904348
44305,3904348
44310,3904348
44310,3904348
44312,3904348
44314,3904348
44314,3904348
44306,3904348
44305,3904348
44312,3904348
44314,3904348
44310,3904348
44310,3904348
44314,3904348
44306,3904348
44303,3904348
44305,3904348
44314,3904348
44311,3904348
44311,3904348
44313,3904348
44314,3904348
44306,3904348
44301,3904348
44310,3904348
44313,3904348
44314,3904348
44303,3904348
44320,3904348
44320,3904348
44314,3904348
44312,3904348
44306,3904348
44320,3904348
44305,3904348
44314,3904348
44313,3904348
44307,3904348
44308,3904348
44301,3904348
44303,3904348
44312,3904348
44310,3904348
44301,3904348
44320,3904348
44305,3904348
44312,3904348
44311,3904348
44308,3904348
44307,3904348
44308,3904348
44601,3904349
44601,3904349
44601,3904349
44601,3904349
44601,3904349
44601,3904349
44601,3904349
44601,3904349
44601,3904349
44805,3904350
44805,3904350
44805,3904350
44805,3904350
44805,3904350
44805,3904350
44805,3904350
44805,3904350
44805,3904350
44805,3904350
44004,3904351
44004,3904351
44004,3904351
44004,3904351
44004,3904351
44004,3904351
44004,3904351
44004,3904351
44004,3904351
44004,3904351
44004,3904351
44004,3904351
45780,3904352
45701,3904352
45719,3904352
45701,3904352
45701,3904352
45780,3904352
45701,3904352
44203,3904353
44203,3904353
44203,3904353
44203,3904353
44203,3904353
44203,3904353
44203,3904353
44203,3904353
44203,3904353
44203,3904353
44203,3904353
44140,3904354
44140,3904354
44140,3904354
44140,3904354
44140,3904354
44122,3904355
44122,3904355
44122,3904355
44122,3904355
44122,3904355
43906,3904357
43906,3904357
43906,3904357
43906,3904357
43940,3904357
43906,3904357
43906,3904357
43311,3904358
43311,3904358
43311,3904358
43311,3904358
43311,3904358
43311,3904358
43311,3904358
44811,3904359
44811,3904359
44811,3904359
44811,3904359
44811,3904359
44811,3904359
43410,3904359
44017,3904360
44142,3904360
44142,3904360
44017,3904360
44142,3904360
44017,3904360
44130,3904360
44130,3904360
44017,3904360
44017,3904360
44017,3904360
44017,3904360
44017,3904360
45714,3904361
45714,3904361
45714,3904361
43209,3904362
43209,3904362
43209,3904362
43209,3904362
43209,3904362
43209,3904362
43402,3904363
43402,3904363
43402,3904363
43402,3904363
43402,3904363
43511,3904363
43402,3904363
43402,3904363
44147,3904364
44141,3904364
44141,3904364
44141,3904364
44141,3904364
44141,3904364
44144,3904365
44144,3904365
44144,3904365
44212,3904366
44212,3904366
44212,3904366
44212,3904366
44212,3904366
44212,3904366
44212,3904366
44212,3904366
44212,3904366
44212,3904366
43506,3904367
43506,3904367
43506,3904367
43506,3904367
43506,3904367
44820,3904368
44820,3904368
44820,3904368
44820,3904368
44820,3904368
44820,3904368
44820,3904368
43725,3904369
43725,3904369
43725,3904369
43725,3904369
43725,3904369
43725,3904369
43725,3904369
43725,3904369
44405,3904370
44405,3904370
44405,3904370
44405,3904370
44707,3904371
44710,3904371
44704,3904371
44714,3904371
44710,3904371
44708,3904371
44705,3904371
44706,3904371
44705,3904371
44705,3904371
44708,3904371
44707,3904371
44707,3904371
44703,3904371
44709,3904371
44706,3904371
44708,3904371
44710,3904371
44703,3904371
44702,3904371
44705,3904371
44703,3904371
44709,3904371
44705,3904371
44707,3904371
44707,3904371
44709,3904371
44701,3904371
45459,3904373
