communityName,state,population,householsize,agePct12t21,agePct12t29,agePct16t24,agePct65up,pctWSocSec,pctWPubAsst,PctUsePubTrans,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,PctKidsBornNeverMar,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,LemasPctOfficDrugUn,ViolentCrimesPerPop,has_pp_access,PctFedEduFunding,PctStateEduFunding,PctLocalEduFunding
Aberdeen,NJ,17038,2.89,12.71,26.94,12.14,7.59,19.87,2.93,12.82,3.18,5.85,17.15,28.03,5.16,69.55,14.72,23.1,11.25,35.52,3.27,83.88,79.31,92.94,85.46,55.57,68.56,1.76,0.015553468716985562,95.71,80.47,6.42,44.91,0.0,297.32,0,4.633333333333334,48.82333333333333,46.54333333333333
Ada,OK,15820,2.37,18.54,30.44,19.51,17.77,36.76,10.01,0.19,22.93,12.72,29.43,23.32,8.39,51.63,13.74,32.69,14.14,28.24,2.88,66.19,63.11,80.8,64.06,63.36,69.18,1.43,0.058849557522123896,87.75,56.21,3.97,41.14,0.0,532.85,0,12.01,63.51,24.475
Agoura Hills,CA,20390,3.08,15.82,24.89,11.47,3.61,10.53,1.58,0.62,3.53,1.6,7.13,44.15,3.61,74.64,11.71,23.43,4.4,44.57,3.37,86.68,86.65,91.45,87.03,52.78,65.2,0.54,0.015546836684649339,95.42,83.4,0.63,15.77,0.0,368.76,0,1.11,42.94,55.95
Aiken,SC,19872,2.56,12.26,23.43,10.72,14.62,30.95,8.48,0.0,15.69,9.75,20.62,33.06,4.96,56.88,24.96,23.75,12.07,38.22,3.05,70.11,64.51,81.36,69.09,60.68,68.55,4.59,0.039955716586151366,90.71,66.18,3.02,37.78,0.0,504.2,0,7.87,58.27,33.86
Alabaster,AL,14732,2.99,13.87,27.21,11.67,6.64,15.1,3.72,0.14,5.65,7.82,22.15,24.38,2.83,70.38,12.66,21.95,11.31,30.14,3.23,83.95,80.57,98.26,87.95,65.19,68.02,1.08,0.015137116481129514,95.66,82.71,0.0,21.97,0.0,137.94,0,5.1,57.45,37.45
Alameda,CA,76459,2.63,12.98,29.22,15.31,10.55,20.86,5.98,14.46,6.81,4.09,11.89,31.26,3.53,71.08,11.28,24.91,8.92,36.28,3.02,71.07,70.29,84.95,71.5,67.08,71.77,2.84,0.018859781059129728,95.28,46.28,0.69,17.41,0.0,599.49,0,7.29,47.86,44.86
Alamogordo,NM,27596,2.63,14.12,28.87,12.99,10.21,21.19,6.41,0.09,13.52,7.74,18.01,16.73,7.64,59.34,7.39,24.19,11.0,25.72,3.07,76.3,72.44,82.54,78.18,57.2,66.04,2.16,0.054065806638643285,87.54,63.74,1.88,39.08,0.0,483.72,0,6.47,56.68,36.85
Albany,OR,29462,2.5,13.87,27.03,13.33,12.43,28.05,8.4,0.34,14.66,6.01,18.95,12.44,6.9,59.71,27.04,21.37,22.22,18.93,2.97,68.4,65.81,68.35,73.17,54.97,66.15,2.89,0.01819292648156948,95.65,51.92,6.53,21.27,0.0,234.92,1,8.914,36.608666666666664,54.48133333333333
Albemarle,NC,14939,2.47,12.33,23.7,11.64,17.82,34.52,7.86,0.0,14.11,17.47,39.42,12.49,6.66,57.87,41.57,16.06,32.88,19.13,2.92,69.37,65.48,70.19,81.61,78.34,78.88,4.8,0.03266617578151148,92.54,66.47,1.64,43.85,0.0,906.29,0,6.14,73.02,20.84
Albuquerque,NM,384736,2.5,13.56,27.85,13.36,10.14,22.13,5.48,2.01,13.98,5.9,16.09,28.43,6.32,63.87,9.39,29.25,9.07,32.27,3.05,68.56,66.04,76.7,72.57,62.1,70.24,3.69,0.03392456125758962,92.18,57.33,2.06,19.49,1.9519878566081676e-05,1595.37,1,6.59,77.89,15.510000000000002
Alexander City,AL,14917,2.6,15.34,25.95,13.0,15.5,35.11,8.59,0.25,17.07,16.55,39.6,14.21,4.75,58.71,50.03,14.93,30.84,18.43,3.08,67.29,60.3,71.95,75.63,74.76,79.86,5.22,0.0284909834417108,93.11,64.84,2.35,32.71,0.0,341.75,0,6.5649999999999995,63.209999999999994,30.229999999999997
Alexandria,VA,111183,2.09,8.3,30.47,12.81,9.02,13.5,3.06,18.15,7.09,6.0,13.09,48.55,3.5,76.42,4.36,28.44,5.46,47.71,2.83,65.23,60.72,77.59,61.34,69.69,76.46,7.23,0.04471906676380382,91.46,40.48,0.58,10.12,9.102110934225555e-05,659.56,0,4.636875,17.39,77.96875
Alhambra,CA,82106,2.91,14.0,30.72,14.87,11.07,21.03,11.58,5.99,14.75,14.56,27.91,22.92,6.05,59.34,15.91,22.38,12.48,27.7,3.4,71.03,67.3,78.12,71.33,56.64,62.64,4.63,0.016624850802621,95.39,40.59,2.93,20.29,0.0,544.59,1,7.88,61.84,30.28
Alice,TX,19788,3.11,16.25,27.12,13.19,11.2,29.27,15.26,0.24,28.5,24.03,41.74,10.58,9.97,49.56,4.99,20.6,13.89,20.22,3.53,76.31,69.91,84.09,80.71,44.99,55.17,1.73,0.04179300586213867,88.51,67.59,13.78,68.2,0.0,674.67,0,10.06,67.09,22.85
Allen,TX,18309,3.11,13.36,28.12,9.93,2.51,7.71,1.82,0.84,3.09,1.8,6.27,31.9,3.09,81.09,25.59,17.37,6.46,33.93,3.38,87.51,86.47,92.17,85.84,66.28,75.01,0.55,0.015129171445737069,95.51,74.76,2.53,35.02,0.0,681.43,0,1.36,40.03,58.61
Alliance,OH,23304,2.62,17.41,28.82,16.39,15.25,35.92,12.68,0.15,19.29,9.09,28.3,11.96,11.58,49.71,26.93,28.75,23.25,20.13,3.03,66.1,61.89,71.56,74.26,54.09,62.72,3.85,0.028707518022657055,93.01,59.26,7.17,51.72,0.0,1013.71,0,6.98,50.7,42.31
Altoona,PA,51881,2.51,13.93,24.78,12.31,16.8,39.2,11.6,1.87,18.03,9.35,26.66,9.48,8.18,51.99,15.73,24.98,18.95,18.98,3.05,69.65,67.65,74.13,76.65,58.77,64.89,3.16,0.0388196064069698,91.13,66.08,1.79,54.02,0.0,309.78,0,9.27,55.48,35.245000000000005
Altus,OK,21910,2.77,15.45,31.27,15.66,9.85,24.74,9.94,0.07,18.29,10.56,24.61,17.31,7.72,59.38,5.9,27.93,10.5,25.78,3.12,75.94,71.67,82.09,79.25,55.77,63.48,2.87,0.05531720675490644,86.73,54.79,3.47,57.59,0.0,307.5,0,12.98,68.43,18.59
Alvin,TX,19220,2.76,15.97,30.41,15.16,8.27,19.97,3.88,0.31,14.01,10.79,26.19,13.34,4.56,64.33,17.81,21.39,13.97,20.96,3.23,74.86,70.4,76.28,73.8,49.03,63.32,1.65,0.05348595213319459,87.14,52.25,1.36,57.59,0.0,350.93,0,3.41,42.33,54.26
Amarillo,TX,157615,2.58,13.91,26.6,12.44,10.85,24.44,5.66,0.85,16.77,8.61,24.28,17.77,6.76,62.47,12.07,23.66,14.14,23.5,3.12,74.31,70.71,79.75,76.4,60.62,68.61,2.46,0.047298797703264284,89.13,62.6,3.51,43.45,0.00010151318085207626,671.46,0,7.580909090909091,47.24545454545454,45.16909090909091
American Fork,UT,15696,3.83,20.03,30.7,13.79,7.26,24.26,5.68,0.89,8.08,6.87,16.35,20.05,6.09,61.51,15.74,30.26,14.82,27.91,4.12,86.56,85.47,94.22,87.42,60.28,67.56,0.29,0.008027522935779817,97.02,75.44,3.97,46.83,0.0,188.13,0,4.86,64.31,30.82
Americus,GA,16512,2.84,17.45,30.69,16.93,12.95,31.11,19.29,0.17,31.51,17.43,37.86,17.47,10.62,51.28,22.79,27.99,21.19,24.93,3.26,46.88,40.6,49.76,53.43,61.01,65.21,13.87,0.03076550387596899,91.96,53.24,2.95,41.73,0.0,607.8,0,12.96,65.18,21.86
Ames,IA,47198,3.02,31.04,54.33,42.28,5.91,13.62,3.03,8.04,24.12,2.31,4.86,54.14,4.29,62.21,5.14,49.56,7.2,38.55,2.9,82.88,82.23,88.35,80.83,61.17,71.48,1.51,0.009428365608712233,97.23,44.1,2.92,26.74,0.0,91.93,1,2.06,35.83,62.11
Amesbury,MA,14997,2.72,12.23,25.71,11.64,10.12,25.23,6.68,0.84,6.25,8.49,20.07,21.55,8.27,64.89,25.68,22.9,14.31,27.73,3.13,75.54,74.51,85.4,83.03,60.95,70.49,2.63,0.03160632126425285,92.09,57.59,0.21,53.16,0.0,566.68,0,5.17,44.87,49.95
Amherst,OH,10332,2.74,14.15,23.31,11.73,13.43,28.09,3.99,0.15,4.52,6.13,20.82,16.28,4.96,58.29,26.68,26.6,15.58,26.98,3.11,85.95,82.36,89.77,85.55,63.12,72.09,0.53,0.008420441347270616,97.75,83.4,1.15,41.38,0.0,125.57,0,2.6,43.11,54.29
Amsterdam,NY,20714,2.36,11.35,23.13,11.19,21.15,43.79,7.08,2.6,13.5,12.54,31.33,12.33,8.97,52.65,23.6,25.83,19.07,22.91,2.96,65.74,62.69,67.57,70.4,59.49,69.23,3.28,0.034421164429854205,92.49,50.94,2.1,59.05,0.0,49.93,1,4.6,60.62,34.78
Anacortes,WA,11451,2.45,10.52,19.07,8.23,19.35,39.73,6.91,0.8,11.56,6.47,18.63,15.13,8.03,47.74,18.93,19.59,14.45,21.52,2.86,75.86,73.91,75.6,70.3,59.69,63.5,1.02,0.028207143480918698,93.53,68.13,5.26,25.7,0.0,68.8,0,3.2,65.06,31.74
Anchorage,AK,226338,2.74,13.96,28.98,13.23,3.48,9.3,6.38,2.42,7.07,2.81,9.61,26.85,6.46,73.29,3.6,23.88,8.2,32.34,3.2,75.08,73.33,80.91,79.36,59.56,69.06,3.32,0.0505924767383294,87.84,52.81,5.83,42.75,2.6597389744541348e-05,872.98,1,9.967272727272727,65.99727272727273,24.035454545454545
Anderson,IN,59459,2.45,15.31,27.93,14.78,14.6,32.58,8.81,0.7,17.98,10.09,28.67,12.0,8.19,56.59,27.0,21.54,21.92,18.02,2.95,62.56,58.7,69.89,62.76,63.08,72.44,4.66,0.034494357456398526,92.22,63.82,6.39,56.36,0.0,439.73,0,7.17,56.10888888888889,36.72555555555555
Andover,MA,29151,2.8,13.83,23.24,11.5,9.68,21.94,3.64,2.64,2.93,2.98,8.78,52.49,4.05,66.8,21.25,34.18,4.51,53.69,3.26,87.08,86.89,93.69,86.82,53.32,66.84,1.03,0.016363075023155295,95.62,74.58,0.84,24.32,0.0,103.65,0,2.8,47.605000000000004,49.595
Andrews,TX,10678,2.98,16.39,28.02,12.85,9.69,25.15,6.13,0.0,16.11,18.42,38.5,9.74,7.12,56.96,10.79,21.03,21.5,21.57,3.4,81.96,77.41,86.13,83.72,51.58,56.66,1.15,0.04111256789660985,89.1,74.19,1.82,60.36,0.0,173.77,0,4.67,17.04,78.3
Angleton,TX,17140,2.88,14.8,27.74,12.5,7.77,19.35,4.94,0.0,9.65,7.32,19.53,14.37,5.2,65.49,23.19,20.44,14.67,22.64,3.29,78.42,74.6,86.1,88.9,64.25,71.1,2.11,0.043757292882147025,88.81,64.25,7.73,54.93,0.0,546.28,0,4.68,20.56,74.76
Ankeny,IA,18482,2.74,16.87,32.59,16.91,4.77,12.07,2.49,0.24,5.63,1.84,6.14,29.1,2.07,80.9,10.67,26.39,8.89,31.51,3.15,84.14,85.22,89.98,85.59,75.68,79.76,0.89,0.012282220538902716,96.75,64.98,0.44,14.1,0.0,65.71,0,1.1,48.18,50.72
Annapolis,MD,33187,2.36,12.1,27.72,13.38,11.08,22.19,6.75,5.05,12.12,6.94,19.83,32.79,5.37,68.93,5.8,28.16,6.66,36.47,2.97,54.67,47.6,66.45,55.13,68.07,76.75,9.73,0.03588754632838159,92.19,47.76,14.95,24.77,0.0,1428.53,1,3.7,34.98,61.33
Anniston,AL,26623,2.46,13.98,24.9,11.84,15.94,35.6,10.83,0.73,24.4,13.84,32.98,17.94,11.53,48.81,19.64,24.14,18.5,26.9,3.03,57.07,49.25,66.59,58.79,59.86,67.31,6.83,0.04856702850918379,89.31,60.43,4.02,47.72,0.0,3540.57,0,10.893333333333333,68.35000000000001,20.746666666666666
