,communityName,state,householsize,agePct12t29,agePct65up,pctWSocSec,pctWPubAsst,PctUsePubTrans,PctPopUnderPov,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,PersPerFam,PctFam2Par,PctWorkMom,PctKidsBornNeverMar,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,LemasPctOfficDrugUn,ViolentCrimesPerPop,has_pp_access,PctFedEduFunding,PctStateEduFunding
0,Aberdeen,NJ,2.89,26.94,7.59,19.87,2.93,12.82,3.18,17.15,28.03,5.16,14.72,23.1,11.25,35.52,3.27,83.88,68.56,1.76,0.015553468716985562,95.71,80.47,6.42,44.91,0.0,0.29732,0,4.633333333333334,48.82333333333333
1,Ada,OK,2.37,30.44,17.77,36.76,10.01,0.19,22.93,29.43,23.32,8.39,13.74,32.69,14.14,28.24,2.88,66.19,69.18,1.43,0.058849557522123896,87.75,56.21,3.97,41.14,0.0,0.53285,0,12.01,63.51
2,Agoura Hills,CA,3.08,24.89,3.61,10.53,1.58,0.62,3.53,7.13,44.15,3.61,11.71,23.43,4.4,44.57,3.37,86.68,65.2,0.54,0.015546836684649339,95.42,83.4,0.63,15.77,0.0,0.36876,0,1.11,42.94
3,Aiken,SC,2.56,23.43,14.62,30.95,8.48,0.0,15.69,20.62,33.06,4.96,24.96,23.75,12.07,38.22,3.05,70.11,68.55,4.59,0.039955716586151366,90.71,66.18,3.02,37.78,0.0,0.5042,0,7.87,58.27
4,Alabaster,AL,2.99,27.21,6.64,15.1,3.72,0.14,5.65,22.15,24.38,2.83,12.66,21.95,11.31,30.14,3.23,83.95,68.02,1.08,0.015137116481129514,95.66,82.71,0.0,21.97,0.0,0.13794,0,5.1,57.45
5,Alameda,CA,2.63,29.22,10.55,20.86,5.98,14.46,6.81,11.89,31.26,3.53,11.28,24.91,8.92,36.28,3.02,71.07,71.77,2.84,0.018859781059129728,95.28,46.28,0.69,17.41,0.0,0.59949,0,7.29,47.86
6,Alamogordo,NM,2.63,28.87,10.21,21.19,6.41,0.09,13.52,18.01,16.73,7.64,7.39,24.19,11.0,25.72,3.07,76.3,66.04,2.16,0.054065806638643285,87.54,63.74,1.88,39.08,0.0,0.48372000000000004,0,6.47,56.68
7,Albany,OR,2.5,27.03,12.43,28.05,8.4,0.34,14.66,18.95,12.44,6.9,27.04,21.37,22.22,18.93,2.97,68.4,66.15,2.89,0.01819292648156948,95.65,51.92,6.53,21.27,0.0,0.23492,1,8.914,36.608666666666664
8,Albemarle,NC,2.47,23.7,17.82,34.52,7.86,0.0,14.11,39.42,12.49,6.66,41.57,16.06,32.88,19.13,2.92,69.37,78.88,4.8,0.03266617578151148,92.54,66.47,1.64,43.85,0.0,0.9062899999999999,0,6.14,73.02
9,Albuquerque,NM,2.5,27.85,10.14,22.13,5.48,2.01,13.98,16.09,28.43,6.32,9.39,29.25,9.07,32.27,3.05,68.56,70.24,3.69,0.03392456125758962,92.18,57.33,2.06,19.49,1.9519878566081676e-05,1.59537,1,6.59,77.89
10,Alexander City,AL,2.6,25.95,15.5,35.11,8.59,0.25,17.07,39.6,14.21,4.75,50.03,14.93,30.84,18.43,3.08,67.29,79.86,5.22,0.0284909834417108,93.11,64.84,2.35,32.71,0.0,0.34175,0,6.5649999999999995,63.209999999999994
11,Alexandria,VA,2.09,30.47,9.02,13.5,3.06,18.15,7.09,13.09,48.55,3.5,4.36,28.44,5.46,47.71,2.83,65.23,76.46,7.23,0.04471906676380382,91.46,40.48,0.58,10.12,9.102110934225555e-05,0.6595599999999999,0,4.636875,17.39
12,Alhambra,CA,2.91,30.72,11.07,21.03,11.58,5.99,14.75,27.91,22.92,6.05,15.91,22.38,12.48,27.7,3.4,71.03,62.64,4.63,0.016624850802621,95.39,40.59,2.93,20.29,0.0,0.54459,1,7.88,61.84
13,Alice,TX,3.11,27.12,11.2,29.27,15.26,0.24,28.5,41.74,10.58,9.97,4.99,20.6,13.89,20.22,3.53,76.31,55.17,1.73,0.04179300586213867,88.51,67.59,13.78,68.2,0.0,0.67467,0,10.06,67.09
14,Allen,TX,3.11,28.12,2.51,7.71,1.82,0.84,3.09,6.27,31.9,3.09,25.59,17.37,6.46,33.93,3.38,87.51,75.01,0.55,0.015129171445737069,95.51,74.76,2.53,35.02,0.0,0.68143,0,1.36,40.03
15,Alliance,OH,2.62,28.82,15.25,35.92,12.68,0.15,19.29,28.3,11.96,11.58,26.93,28.75,23.25,20.13,3.03,66.1,62.72,3.85,0.028707518022657055,93.01,59.26,7.17,51.72,0.0,1.01371,0,6.98,50.7
16,Altoona,PA,2.51,24.78,16.8,39.2,11.6,1.87,18.03,26.66,9.48,8.18,15.73,24.98,18.95,18.98,3.05,69.65,64.89,3.16,0.0388196064069698,91.13,66.08,1.79,54.02,0.0,0.30978,0,9.27,55.48
17,Altus,OK,2.77,31.27,9.85,24.74,9.94,0.07,18.29,24.61,17.31,7.72,5.9,27.93,10.5,25.78,3.12,75.94,63.48,2.87,0.05531720675490644,86.73,54.79,3.47,57.59,0.0,0.3075,0,12.98,68.43
18,Alvin,TX,2.76,30.41,8.27,19.97,3.88,0.31,14.01,26.19,13.34,4.56,17.81,21.39,13.97,20.96,3.23,74.86,63.32,1.65,0.05348595213319459,87.14,52.25,1.36,57.59,0.0,0.35093,0,3.41,42.33
19,Amarillo,TX,2.58,26.6,10.85,24.44,5.66,0.85,16.77,24.28,17.77,6.76,12.07,23.66,14.14,23.5,3.12,74.31,68.61,2.46,0.047298797703264284,89.13,62.6,3.51,43.45,0.00010151318085207626,0.6714600000000001,0,7.580909090909091,47.24545454545454
20,American Fork,UT,3.83,30.7,7.26,24.26,5.68,0.89,8.08,16.35,20.05,6.09,15.74,30.26,14.82,27.91,4.12,86.56,67.56,0.29,0.008027522935779817,97.02,75.44,3.97,46.83,0.0,0.18813,0,4.86,64.31
21,Americus,GA,2.84,30.69,12.95,31.11,19.29,0.17,31.51,37.86,17.47,10.62,22.79,27.99,21.19,24.93,3.26,46.88,65.21,13.87,0.03076550387596899,91.96,53.24,2.95,41.73,0.0,0.6078,0,12.96,65.18
22,Ames,IA,3.02,54.33,5.91,13.62,3.03,8.04,24.12,4.86,54.14,4.29,5.14,49.56,7.2,38.55,2.9,82.88,71.48,1.51,0.009428365608712233,97.23,44.1,2.92,26.74,0.0,0.09193000000000001,1,2.06,35.83
23,Amesbury,MA,2.72,25.71,10.12,25.23,6.68,0.84,6.25,20.07,21.55,8.27,25.68,22.9,14.31,27.73,3.13,75.54,70.49,2.63,0.03160632126425285,92.09,57.59,0.21,53.16,0.0,0.56668,0,5.17,44.87
24,Amherst,OH,2.74,23.31,13.43,28.09,3.99,0.15,4.52,20.82,16.28,4.96,26.68,26.6,15.58,26.98,3.11,85.95,72.09,0.53,0.008420441347270616,97.75,83.4,1.15,41.38,0.0,0.12557,0,2.6,43.11
25,Amsterdam,NY,2.36,23.13,21.15,43.79,7.08,2.6,13.5,31.33,12.33,8.97,23.6,25.83,19.07,22.91,2.96,65.74,69.23,3.28,0.034421164429854205,92.49,50.94,2.1,59.05,0.0,0.04993,1,4.6,60.62
26,Anacortes,WA,2.45,19.07,19.35,39.73,6.91,0.8,11.56,18.63,15.13,8.03,18.93,19.59,14.45,21.52,2.86,75.86,63.5,1.02,0.028207143480918698,93.53,68.13,5.26,25.7,0.0,0.0688,0,3.2,65.06
27,Anchorage,AK,2.74,28.98,3.48,9.3,6.38,2.42,7.07,9.61,26.85,6.46,3.6,23.88,8.2,32.34,3.2,75.08,69.06,3.32,0.0505924767383294,87.84,52.81,5.83,42.75,2.6597389744541348e-05,0.87298,1,9.967272727272727,65.99727272727273
28,Anderson,IN,2.45,27.93,14.6,32.58,8.81,0.7,17.98,28.67,12.0,8.19,27.0,21.54,21.92,18.02,2.95,62.56,72.44,4.66,0.034494357456398526,92.22,63.82,6.39,56.36,0.0,0.43973,0,7.17,56.10888888888889
29,Andover,MA,2.8,23.24,9.68,21.94,3.64,2.64,2.93,8.78,52.49,4.05,21.25,34.18,4.51,53.69,3.26,87.08,66.84,1.03,0.016363075023155295,95.62,74.58,0.84,24.32,0.0,0.10365,0,2.8,47.605000000000004
30,Andrews,TX,2.98,28.02,9.69,25.15,6.13,0.0,16.11,38.5,9.74,7.12,10.79,21.03,21.5,21.57,3.4,81.96,56.66,1.15,0.04111256789660985,89.1,74.19,1.82,60.36,0.0,0.17377,0,4.67,17.04
31,Angleton,TX,2.88,27.74,7.77,19.35,4.94,0.0,9.65,19.53,14.37,5.2,23.19,20.44,14.67,22.64,3.29,78.42,71.1,2.11,0.043757292882147025,88.81,64.25,7.73,54.93,0.0,0.54628,0,4.68,20.56
32,Ankeny,IA,2.74,32.59,4.77,12.07,2.49,0.24,5.63,6.14,29.1,2.07,10.67,26.39,8.89,31.51,3.15,84.14,79.76,0.89,0.012282220538902716,96.75,64.98,0.44,14.1,0.0,0.06570999999999999,0,1.1,48.18
33,Annapolis,MD,2.36,27.72,11.08,22.19,6.75,5.05,12.12,19.83,32.79,5.37,5.8,28.16,6.66,36.47,2.97,54.67,76.75,9.73,0.03588754632838159,92.19,47.76,14.95,24.77,0.0,1.42853,1,3.7,34.98
34,Anniston,AL,2.46,24.9,15.94,35.6,10.83,0.73,24.4,32.98,17.94,11.53,19.64,24.14,18.5,26.9,3.03,57.07,67.31,6.83,0.04856702850918379,89.31,60.43,4.02,47.72,0.0,3.54057,0,10.893333333333333,68.35000000000001
35,Antioch,CA,2.91,27.25,6.93,17.7,8.91,2.14,9.12,17.42,14.87,6.63,15.7,17.98,12.81,23.19,3.25,74.43,66.64,3.42,0.025275343677144464,93.16,64.33,1.21,11.32,0.0,0.72085,1,4.25,54.8
